,address,long,lat,data_url,price_$CAN,beds,baths,sqft,type
2076,"60 Berwick Ave, Toronto, Ontario",-79.39985,43.704006,/CA/Condo-For-Sale/ON/Toronto/Chaplin-Estates/60-Berwick-Ave/74898612.html,"$579,800 CAD",1 Bed,1 Bath,--,Condo
374,"609 Avenue Road Condos - 609 Avenue Rd, Toronto, ON, Toronto, Ontario",-79.3849,43.6529,/CA/Home-For-Sale/ON/Toronto/Bay-Street-Corridor/609-Avenue-Road-Condos-609-Avenue-Rd-Toronto-ON/86041749.html,"$1,769,900 CAD",--,--,--,Residential
375,"200 Cumberland Street, Toronto, Ontario",-79.394244,43.669867,/CA/Condo-For-Sale/ON/Toronto/Yorkville/200-Cumberland-Street/82759324.html,"$1,685,000 CAD",--,--,--,Condo
376,"1200 Dundas St W, Toronto, Ontario",-79.422523,43.649805,/CA/Condo-For-Sale/ON/Toronto/Trinity-Bellwoods/1200-Dundas-St-W/80343330.html,"$500,000 CAD",--,--,--,Condo
2100,"5915 Yonge Street/Toronto, Toronto, Ontario",-79.416891,43.786879,/CA/Condo-For-Sale/ON/Toronto/Newtonbrook/5915-Yonge-StreetToronto/73660921.html,"$533,900 CAD",--,--,--,Condo
2124,"116 Micmac Cres, Toronto, Ontario",-79.340537,43.795646,/CA/Home-For-Sale/ON/Toronto/Pleasantview/116-Micmac-Cres/82062264.html,"$979,900 CAD",4 Beds,4 Baths,--,Residential
379,"Pier 27 Condos - 25 Queens Quay E, Toronto, ON, Toronto, Ontario",-79.372892,43.641908,/CA/Home-For-Sale/ON/Toronto/Downtown-Toronto/St-Lawrence/Pier-27-Condos-25-Queens-Quay-E-Toronto-ON/86041642.html,"$2,469,000 CAD",--,--,--,Residential
380,"1221 King Street West, Toronto, Ontario",-79.427665,43.638585,/CA/Condo-For-Sale/ON/Toronto/Parkdale/1221-King-Street-West/82258426.html,"$624,900 CAD",--,--,--,Condo
381,"300 Front St W, Toronto, Ontario",-79.389439,43.644062,/CA/Condo-For-Sale/ON/Toronto/Entertainment-District/300-Front-St-W/82405860.html,"$1,219,900 CAD",2 Beds,2 Baths,--,Condo
382,"100 Harbour St toronto, Toronto, Ontario",-79.379316,43.641709,/CA/Home-For-Sale/ON/Toronto/Harbourfront/100-Harbour-St-toronto/84180528.html,"$688,000 CAD",--,--,--,Residential
2148,"81 Mutual Street, Toronto, Ontario",-79.375236,43.656391,/CA/Condo-For-Sale/ON/Toronto/Garden-District/81-Mutual-Street/82258568.html,"$626,990 CAD",--,--,--,Condo
384,"One Forest Hill - 1 Forest Hill Road, Toronto, ON, Toronto, Ontario",-79.41,43.69,/CA/Home-For-Sale/ON/Toronto/Midtown-Toronto/Forest-Hill/One-Forest-Hill-1-Forest-Hill-Road-Toronto-ON/86041675.html,"$1,900,000 CAD",--,--,--,Residential
2172,"15 Merchants' Wharf, Toronto, Ontario",-79.36433,43.64496,/CA/Condo-For-Sale/ON/Toronto/Downtown-Toronto/St-Lawrence/15-Merchants-Wharf/85604939.html,"$579,000 CAD",1 Bed,1 Bath,--,Condo
386,"355 King St W, Toronto, Ontario",-79.391945,43.645966,/CA/Condo-For-Sale/ON/Toronto/Entertainment-District/355-King-St-W/86762045.html,"$760,000 CAD",1 Bed,1 Bath,--,Condo
387,"No address available, Toronto, Ontario",-79.392211,43.681257,/CA/Condo-For-Sale/ON/Toronto/Summerhill/No-address-available/83956263.html,"$3,000,000 CAD",--,--,--,Condo
388,"650 Queens Quay W, Toronto, Ontario",-79.398842,43.63571,/CA/Home-For-Sale/ON/Toronto/Fort-York/650-Queens-Quay-W/84081165.html,"$800,000 CAD",--,--,--,Residential
389,"2 Gibbs Road, Toronto, Ontario",-79.558157,43.638359,/CA/Condo-For-Sale/ON/Toronto/Eatonville/2-Gibbs-Road/82381803.html,"$433,000 CAD",--,--,--,Condo
